,min,avg,max,mdev
,,,,
planetlab5.eecs.umich.edu,130.331,130.392,130.516,0.397
,,,,
planetlab5.eecs.umich.edu,130.324,130.412,130.573,0.417
,,,,
planetlab5.eecs.umich.edu,130.374,130.432,130.5,0.38
,,,,
planetlab5.eecs.umich.edu,130.437,130.523,130.786,0.291
,,,,
planetlab5.eecs.umich.edu,130.4,130.459,130.583,0.429
,,,,
planetlab5.eecs.umich.edu,130.396,130.457,130.519,0.443
,,,,
planetlab5.eecs.umich.edu,144.083,144.246,144.418,0.369
,,,,
planetlab5.eecs.umich.edu,144.034,144.364,147.259,0.742
,,,,
planetlab5.eecs.umich.edu,130.388,130.462,130.575,0.383
,,,,
planetlab5.eecs.umich.edu,130.359,130.429,130.519,0.258
,,,,
planetlab5.eecs.umich.edu,130.404,130.514,130.858,0.258
,,,,
planetlab5.eecs.umich.edu,130.358,130.473,130.729,0.179
,,,,
planetlab5.eecs.umich.edu,130.376,130.47,130.636,0.212
,,,,
planetlab5.eecs.umich.edu,130.318,130.409,130.577,0.461
,,,,
planetlab5.eecs.umich.edu,130.344,130.451,130.597,0.475
,,,,
planetlab5.eecs.umich.edu,130.356,130.412,130.662,0.461
,,,,
planetlab5.eecs.umich.edu,130.405,130.479,130.738,0.289
,,,,
planetlab5.eecs.umich.edu,130.337,130.406,130.502,0.413
,,,,
planetlab5.eecs.umich.edu,130.351,130.47,130.633,0.42
,,,,
planetlab5.eecs.umich.edu,130.371,130.462,130.66,0.463
,,,,
planetlab5.eecs.umich.edu,130.348,130.421,130.521,0.499
,,,,
planetlab5.eecs.umich.edu,130.392,130.489,130.603,0.416
,,,,
planetlab5.eecs.umich.edu,130.389,130.45,130.573,0.305
,,,,
planetlab5.eecs.umich.edu,130.418,130.479,130.566,0.445
,,,,
planetlab5.eecs.umich.edu,130.466,130.555,130.729,0.237
,,,,
,130.5662222,130.6623856,131.0417059,0.368542484
