,min,avg,max,mdev
PLANETLAB2.UTDALLAS.EDU,40.444,40.513,40.904,0.184
,,,,
PLANETLAB2.UTDALLAS.EDU,40.448,40.529,41.402,0.291
,,,,
PLANETLAB2.UTDALLAS.EDU,40.447,40.514,40.743,0.194
,,,,
PLANETLAB2.UTDALLAS.EDU,40.437,40.519,40.709,0.264
,,,,
PLANETLAB2.UTDALLAS.EDU,40.465,40.975,42.505,0.6
,,,,
PLANETLAB2.UTDALLAS.EDU,40.461,40.508,40.558,0.239
,,,,
PLANETLAB2.UTDALLAS.EDU,40.492,40.555,41.072,0.257
,,,,
PLANETLAB2.UTDALLAS.EDU,40.459,40.745,43.084,0.654
,,,,
PLANETLAB2.UTDALLAS.EDU,40.478,40.631,42.345,0.458
,,,,
PLANETLAB2.UTDALLAS.EDU,40.472,40.609,41.591,0.375
,,,,
PLANETLAB2.UTDALLAS.EDU,41.855,42.015,42.288,0.267
,,,,
PLANETLAB2.UTDALLAS.EDU,41.859,42.018,43.001,0.297
,,,,
PLANETLAB2.UTDALLAS.EDU,41.875,42.06,42.972,0.38
,,,,
PLANETLAB2.UTDALLAS.EDU,41.888,42.284,43.147,0.459
,,,,
PLANETLAB2.UTDALLAS.EDU,41.871,41.957,42.221,0.233
,,,,
PLANETLAB2.UTDALLAS.EDU,40.488,40.643,41.522,0.27
,,,,
PLANETLAB2.UTDALLAS.EDU,40.477,40.55,40.682,0.084
,,,,
PLANETLAB2.UTDALLAS.EDU,40.506,40.574,40.828,0.222
,,,,
PLANETLAB2.UTDALLAS.EDU,40.486,40.773,42.133,0.458
,,,,
PLANETLAB2.UTDALLAS.EDU,40.715,40.891,42.182,0.423
,,,,
PLANETLAB2.UTDALLAS.EDU,40.493,40.591,40.801,0.272
,,,,
PLANETLAB2.UTDALLAS.EDU,40.494,40.674,42.001,0.466
,,,,
PLANETLAB2.UTDALLAS.EDU,40.543,40.804,42.387,0.548
,,,,
PLANETLAB2.UTDALLAS.EDU,40.496,40.648,41.793,0.406
,,,,
PLANETLAB2.UTDALLAS.EDU,40.494,40.594,41.526,0.333
,,,,
PLANETLAB2.UTDALLAS.EDU,40.519,40.624,41.294,0.314
,,,,
PLANETLAB2.UTDALLAS.EDU,40.51,40.931,42.478,0.7
,,,,
PLANETLAB2.UTDALLAS.EDU,40.531,40.917,42.24,0.615
,,,,
PLANETLAB2.UTDALLAS.EDU,40.525,41.046,42.253,0.486
,,,,
PLANETLAB2.UTDALLAS.EDU,40.518,40.721,41.741,0.373
,,,,
PLANETLAB2.UTDALLAS.EDU,40.525,41.041,43.136,0.767
,,,,
PLANETLAB2.UTDALLAS.EDU,40.515,41.038,45.197,1.054
,,,,
PLANETLAB2.UTDALLAS.EDU,40.533,40.846,42.673,0.625
,,,,
PLANETLAB2.UTDALLAS.EDU,40.535,40.978,42.296,0.588
,,,,
PLANETLAB2.UTDALLAS.EDU,40.54,41.674,56.039,3.319
,,,,
PLANETLAB2.UTDALLAS.EDU,40.519,40.834,41.775,0.38
,,,,
PLANETLAB2.UTDALLAS.EDU,40.546,41.102,42.552,0.719
,,,,
PLANETLAB2.UTDALLAS.EDU,40.542,41.039,43.541,0.808
,,,,
PLANETLAB2.UTDALLAS.EDU,40.516,40.879,42.16,0.524
,,,,
PLANETLAB2.UTDALLAS.EDU,40.536,40.904,43.161,0.692
,,,,
PLANETLAB2.UTDALLAS.EDU,40.553,40.866,42.758,0.584
,,,,
PLANETLAB2.UTDALLAS.EDU,40.541,40.794,41.76,0.417
,,,,
PLANETLAB2.UTDALLAS.EDU,40.549,41.028,42.117,0.449
,,,,
PLANETLAB2.UTDALLAS.EDU,40.559,40.871,42.122,0.396
,,,,
PLANETLAB2.UTDALLAS.EDU,40.539,40.954,42.115,0.61
,,,,
PLANETLAB2.UTDALLAS.EDU,40.561,41.091,42.329,0.651
,,,,
PLANETLAB2.UTDALLAS.EDU,40.58,41.028,42.077,0.56
,,,,
PLANETLAB2.UTDALLAS.EDU,40.561,40.903,43.653,0.847
,,,,
PLANETLAB2.UTDALLAS.EDU,40.562,40.64,41.322,0.286
,,,,
PLANETLAB2.UTDALLAS.EDU,40.558,40.914,42.017,0.412
,,,,
PLANETLAB2.UTDALLAS.EDU,40.618,40.933,42.088,0.362
,,,,
PLANETLAB2.UTDALLAS.EDU,40.574,40.635,40.798,0.191
,,,,
PLANETLAB2.UTDALLAS.EDU,40.537,40.818,41.979,0.458
,,,,
PLANETLAB2.UTDALLAS.EDU,40.559,40.801,42.646,0.512
,,,,
PLANETLAB2.UTDALLAS.EDU,40.573,40.698,41.42,0.227
,,,,
PLANETLAB2.UTDALLAS.EDU,40.568,40.685,41.482,0.336
,,,,
PLANETLAB2.UTDALLAS.EDU,40.591,40.698,41.614,0.225
,,,,
PLANETLAB2.UTDALLAS.EDU,40.59,40.786,42.435,0.495
,,,,
PLANETLAB2.UTDALLAS.EDU,40.591,40.756,42.171,0.428
,,,,
PLANETLAB2.UTDALLAS.EDU,40.595,40.671,40.902,0.266
,,,,
PLANETLAB2.UTDALLAS.EDU,40.593,40.637,40.91,0.285
,,,,
PLANETLAB2.UTDALLAS.EDU,40.578,40.676,41.477,0.186
,,,,
PLANETLAB2.UTDALLAS.EDU,40.602,40.735,41.997,0.326
,,,,
PLANETLAB2.UTDALLAS.EDU,40.579,40.689,41.299,0.286
,,,,
PLANETLAB2.UTDALLAS.EDU,40.62,41.016,42.965,0.734
,,,,
PLANETLAB2.UTDALLAS.EDU,40.626,41.074,41.702,0.306
,,,,
PLANETLAB2.UTDALLAS.EDU,40.603,40.78,41.638,0.317
,,,,
PLANETLAB2.UTDALLAS.EDU,40.605,40.697,41.237,0.188
,,,,
PLANETLAB2.UTDALLAS.EDU,40.604,40.882,42.815,0.647
,,,,
PLANETLAB2.UTDALLAS.EDU,40.598,40.72,41.216,0.275
,,,,
PLANETLAB2.UTDALLAS.EDU,40.605,40.779,41.999,0.368
,,,,
PLANETLAB2.UTDALLAS.EDU,40.619,40.947,42.437,0.556
,,,,
PLANETLAB2.UTDALLAS.EDU,40.634,40.947,42.942,0.632
,,,,
PLANETLAB2.UTDALLAS.EDU,40.627,40.714,41.483,0.18
,,,,
PLANETLAB2.UTDALLAS.EDU,40.619,40.854,43.352,0.603
,,,,
PLANETLAB2.UTDALLAS.EDU,40.613,40.808,42.277,0.383
,,,,
PLANETLAB2.UTDALLAS.EDU,40.62,40.737,41.389,0.254
,,,,
