,min,avg,max,mdev
Planetlab1.cs.ucla.edu,24.476,24.595,24.884,0.13
,,,,
Planetlab1.cs.ucla.edu,24.469,24.576,24.786,0.205
,,,,
Planetlab1.cs.ucla.edu,24.499,24.557,24.748,0.223
,,,,
Planetlab1.cs.ucla.edu,24.495,24.619,25.569,0.31
,,,,
Planetlab1.cs.ucla.edu,24.481,24.574,24.72,0.206
,,,,
Planetlab1.cs.ucla.edu,24.472,24.564,24.949,0.11
,,,,
Planetlab1.cs.ucla.edu,24.461,24.589,25.567,0.233
,,,,
Planetlab1.cs.ucla.edu,24.468,24.591,25.241,0.237
,,,,
Planetlab1.cs.ucla.edu,24.469,24.589,24.931,0.202
,,,,
Planetlab1.cs.ucla.edu,24.478,24.523,24.576,0.103
,,,,
Planetlab1.cs.ucla.edu,24.474,24.567,24.862,0.191
,,,,
Planetlab1.cs.ucla.edu,24.448,24.591,25.018,0.234
,,,,
Planetlab1.cs.ucla.edu,24.478,24.555,24.769,0.074
,,,,
Planetlab1.cs.ucla.edu,24.485,24.604,25.242,0.267
,,,,
Planetlab1.cs.ucla.edu,24.485,24.611,25.008,0.155
,,,,
Planetlab1.cs.ucla.edu,24.464,24.571,25.304,0.253
,,,,
Planetlab1.cs.ucla.edu,24.475,24.547,24.63,0.052
,,,,
Planetlab1.cs.ucla.edu,24.481,24.578,25.136,0.154
,,,,
Planetlab1.cs.ucla.edu,24.488,24.555,24.852,0.129
,,,,
Planetlab1.cs.ucla.edu,24.445,24.547,24.811,0.203
,,,,
Planetlab1.cs.ucla.edu,24.542,32.726,40.448,7.354
,,,,
Planetlab1.cs.ucla.edu,24.466,24.548,24.716,0.198
,,,,
Planetlab1.cs.ucla.edu,24.464,24.521,24.7,0.131
,,,,
Planetlab1.cs.ucla.edu,24.49,24.59,24.915,0.138
,,,,
Planetlab1.cs.ucla.edu,24.467,24.62,25.298,0.253
,,,,
Planetlab1.cs.ucla.edu,24.452,24.608,25.208,0.164
,,,,
Planetlab1.cs.ucla.edu,24.459,24.535,24.728,0.057
,,,,
Planetlab1.cs.ucla.edu,24.455,24.55,24.649,0.158
,,,,
Planetlab1.cs.ucla.edu,24.466,24.534,24.665,0.171
,,,,
Planetlab1.cs.ucla.edu,24.468,24.576,25.181,0.263
,,,,
Planetlab1.cs.ucla.edu,24.465,24.52,24.632,0.128
,,,,
Planetlab1.cs.ucla.edu,24.494,24.607,24.858,0.123
,,,,
Planetlab1.cs.ucla.edu,24.472,24.606,24.904,0.148
,,,,
Planetlab1.cs.ucla.edu,24.447,24.55,24.749,0.221
,,,,
Planetlab1.cs.ucla.edu,24.465,24.546,24.684,0.124
,,,,
Planetlab1.cs.ucla.edu,24.465,24.556,25.361,0.233
,,,,
Planetlab1.cs.ucla.edu,24.471,24.564,24.992,0.164
,,,,
Planetlab1.cs.ucla.edu,24.488,24.608,24.888,0.156
,,,,
Planetlab1.cs.ucla.edu,24.488,24.576,24.894,0.166
,,,,
Planetlab1.cs.ucla.edu,24.483,24.621,25.163,0.243
,,,,
Planetlab1.cs.ucla.edu,24.463,24.565,24.692,0.152
,,,,
Planetlab1.cs.ucla.edu,24.46,24.576,25.178,0.231
,,,,
Planetlab1.cs.ucla.edu,24.497,24.597,24.85,0.14
,,,,
Planetlab1.cs.ucla.edu,24.463,24.596,25.026,0.145
,,,,
Planetlab1.cs.ucla.edu,24.467,24.544,24.733,0.221
,,,,
Planetlab1.cs.ucla.edu,24.474,24.546,24.896,0.155
,,,,
Planetlab1.cs.ucla.edu,24.466,24.52,24.87,0.191
,,,,
Planetlab1.cs.ucla.edu,24.451,24.563,25.032,0.151
,,,,
Planetlab1.cs.ucla.edu,24.464,24.592,25.462,0.209
,,,,
Planetlab1.cs.ucla.edu,24.467,24.545,24.693,0.127
,,,,
Planetlab1.cs.ucla.edu,24.473,24.552,24.689,0.098
,,,,
Planetlab1.cs.ucla.edu,24.487,24.544,24.657,0.197
,,,,
Planetlab1.cs.ucla.edu,24.476,24.546,24.665,0.181
,,,,
Planetlab1.cs.ucla.edu,24.455,24.517,24.687,0.218
,,,,
Planetlab1.cs.ucla.edu,24.454,24.523,24.73,0.183
,,,,
Planetlab1.cs.ucla.edu,24.496,24.571,24.925,0.2
,,,,
Planetlab1.cs.ucla.edu,24.501,24.572,25.033,0.126
,,,,
Planetlab1.cs.ucla.edu,24.49,24.6,25.269,0.238
,,,,
Planetlab1.cs.ucla.edu,24.486,24.648,25.235,0.236
,,,,
Planetlab1.cs.ucla.edu,24.459,24.589,24.766,0.088
,,,,
Planetlab1.cs.ucla.edu,24.474,24.55,24.824,0.203
,,,,
Planetlab1.cs.ucla.edu,24.472,24.53,24.912,0.166
,,,,
Planetlab1.cs.ucla.edu,24.456,24.566,25.089,0.154
,,,,
Planetlab1.cs.ucla.edu,24.502,24.6,24.7,0.22
,,,,
Planetlab1.cs.ucla.edu,24.491,29.128,34.632,4.442
,,,,
Planetlab1.cs.ucla.edu,24.464,24.529,24.756,0.221
,,,,
Planetlab1.cs.ucla.edu,24.456,24.555,24.961,0.186
,,,,
Planetlab1.cs.ucla.edu,24.461,24.564,24.829,0.145
,,,,
Planetlab1.cs.ucla.edu,24.455,24.519,24.636,0.164
,,,,
Planetlab1.cs.ucla.edu,24.467,24.596,25.158,0.253
,,,,
Planetlab1.cs.ucla.edu,24.482,24.552,24.808,0.21
,,,,
Planetlab1.cs.ucla.edu,24.437,24.519,24.771,0.201
,,,,
Planetlab1.cs.ucla.edu,24.498,24.611,24.933,0.121
,,,,
Planetlab1.cs.ucla.edu,24.454,24.537,24.8,0.216
,,,,
Planetlab1.cs.ucla.edu,24.454,24.543,24.827,0.101
,,,,
Planetlab1.cs.ucla.edu,24.464,24.58,25.008,0.163
,,,,
Planetlab1.cs.ucla.edu,24.476,24.541,24.717,0.134
,,,,
Planetlab1.cs.ucla.edu,24.466,24.559,24.703,0.218
,,,,
Planetlab1.cs.ucla.edu,24.451,24.577,24.716,0.151
,,,,
Planetlab1.cs.ucla.edu,24.441,24.623,25.153,0.223
,,,,
Planetlab1.cs.ucla.edu,24.501,24.597,24.903,0.201
,,,,
Planetlab1.cs.ucla.edu,24.446,24.507,24.642,0.137
,,,,
Planetlab1.cs.ucla.edu,24.437,24.535,24.746,0.163
,,,,
Planetlab1.cs.ucla.edu,24.473,24.607,25.193,0.213
,,,,
